Node_ID	X	Y	Z	Type
7766	28.975	21.35	-0.5	internal
7767	28.975	22.57	-0.5	internal
7768	28.975	23.79	-0.5	internal
7769	28.975	25.925	-0.5	internal
7770	28.975	28.975	-0.5	internal
8455	-28.975	-28.975	-0.75	internal
8456	-28.975	-25.925	-0.75	internal
8457	-28.975	-23.79	-0.75	internal
8458	-28.975	-22.57	-0.75	internal
8459	-28.975	-21.35	-0.75	internal
8460	-28.975	-20.13	-0.75	internal
8461	-28.975	-18.91	-0.75	internal
8462	-28.975	-17.69	-0.75	internal
8463	-28.975	-16.47	-0.75	internal
8464	-28.975	-15.25	-0.75	internal
8465	-28.975	-14.03	-0.75	internal
8466	-28.975	-12.81	-0.75	internal
8467	-28.975	-11.59	-0.75	internal
8468	-28.975	-10.37	-0.75	internal
8469	-28.975	-9.15	-0.75	internal
8470	-28.975	-7.93	-0.75	internal
8471	-28.975	-6.71	-0.75	internal
8472	-28.975	-5.49	-0.75	internal
8473	-28.975	-4.27	-0.75	internal
8474	-28.975	-3.05	-0.75	internal
8475	-28.975	-1.83	-0.75	internal
8476	-28.975	-0.61	-0.75	internal
8477	-28.975	0.61	-0.75	internal
8478	-28.975	1.83	-0.75	internal
8479	-28.975	3.05	-0.75	internal
8480	-28.975	4.27	-0.75	internal
8481	-28.975	5.49	-0.75	internal
8482	-28.975	6.71	-0.75	internal
8483	-28.975	7.93	-0.75	internal
8484	-28.975	9.15	-0.75	internal
8485	-28.975	10.37	-0.75	internal
8486	-28.975	11.59	-0.75	internal
8487	-28.975	12.81	-0.75	internal
8488	-28.975	14.03	-0.75	internal
8489	-28.975	15.25	-0.75	internal
8490	-28.975	16.47	-0.75	internal
8491	-28.975	17.69	-0.75	internal
8492	-28.975	18.91	-0.75	internal
8493	-28.975	20.13	-0.75	internal
8494	-28.975	21.35	-0.75	internal
8495	-28.975	22.57	-0.75	internal
8496	-28.975	23.79	-0.75	internal
8497	-28.975	25.925	-0.75	internal
